sample_id,split,label,degraded_slice
cv_0001,validation,0,degraded_text
cv_0002,validation,0,degraded_audio
cv_0003,validation,0,degraded_video
cv_0004,validation,0,mixed_degraded
cv_0005,validation,1,degraded_text
cv_0006,validation,1,degraded_audio
cv_0007,validation,1,degraded_video
cv_0008,validation,1,mixed_degraded
ct_0001,test,0,degraded_text
ct_0002,test,0,degraded_audio
ct_0003,test,0,degraded_video
ct_0004,test,0,mixed_degraded
ct_0005,test,1,degraded_text
ct_0006,test,1,degraded_audio
ct_0007,test,1,degraded_video
ct_0008,test,1,mixed_degraded

