instance_id,source_id,source_final_label,corruption_type,affected_modality,severity,formal_review_status,proposed_instance_decision,main_answerability,post_corruption_answerability,cross_modal_recoverability,corruption_effect,corruption_relevance,oracle_abstain,oracle_preferred_route,oracle_acceptable_routes,annotation_confidence,current_review_status,current_risk_sensitive,review_issues,recommended_human_action,question,gold_answer
src_001__视频轻度遮挡,src_001,audio_only,video_occlusion,video,mild,needs_adjudication_partial,adjudicate,answerable,partially_answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What are the people doing in the video?,Practice oral skills
src_001__视频重度模糊,src_001,audio_only,video_blur,video,severe,needs_adjudication_unclear,adjudicate,answerable,partially_answerable,recoverable,unclear,unclear,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,"[""unclear_field""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What are the people doing in the video?,Practice oral skills
src_001__音频轻度加噪,src_001,audio_only,audio_noise,audio,mild,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""audio""]","[[""audio"", ""video""]]",high,needs_human_review,False,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What are the people doing in the video?,Practice oral skills
src_001__音频静音,src_001,audio_only,audio_mute,audio,severe,headline_candidate_after_review,accept_after_review,unanswerable,unanswerable,unrecoverable,makes_unanswerable,answer_relevant,True,[],[],high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What are the people doing in the video?,Practice oral skills
src_002__视频轻度遮挡,src_002,audio_only,video_occlusion,video,mild,headline_candidate_after_review,accept_after_review,answerable,answerable,recoverable,route_change_only,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What is the source of the sound in the video?,police car
src_002__视频重度遮挡,src_002,audio_only,video_occlusion,video,severe,needs_adjudication_partial,adjudicate,answerable,partially_answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What is the source of the sound in the video?,police car
src_002__音频轻度加噪,src_002,audio_only,audio_noise,audio,mild,headline_candidate_after_review,accept_after_review,answerable,answerable,recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""audio"", ""video""], [""audio""], [""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What is the source of the sound in the video?,police car
src_002__音频重度加噪,src_002,audio_only,audio_noise,audio,severe,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,confidence_drop,answer_relevant,False,"[""video""]","[[""video""], [""audio"", ""video""], [""audio""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What is the source of the sound in the video?,police car
src_003__视频重度模糊,src_003,video_only,video_blur,video,severe,needs_adjudication_partial,adjudicate,answerable,answerable,partially_recoverable,route_change_only,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,"[""partial_answerability_or_recoverability""]",需要负责人裁决；若不能明确升级为 answerable/unanswerable 且路线清楚，则不进入主测评。,What is the source of the sound in the video?,Birdsong
src_003__视频重度遮挡,src_003,video_only,video_occlusion,video,severe,headline_candidate_after_review,accept_after_review,answerable,answerable,unrecoverable,route_change_only,answer_relevant,False,"[""audio""]","[[""audio""], [""audio"", ""video""]]",high,needs_human_review,True,[],"人工复看媒体和路线；若同意当前字段，则设 review_status=reviewed, risk_sensitive=false, instance_decision=accept。",What is the source of the sound in the video?,Birdsong
