split,condition,slice,template,seed,macro_f1
validation,clean_loose,clean,T,0,72
validation,clean_loose,clean,A,0,54
validation,clean_loose,clean,V,0,56
validation,clean_loose,clean,TA,0,74
validation,clean_loose,clean,TV,0,75
validation,clean_loose,clean,AV,0,62
validation,clean_loose,clean,TAV,0,80
validation,clean_tight,clean,T,0,72
validation,clean_tight,clean,A,0,54
validation,clean_tight,clean,V,0,56
validation,clean_tight,clean,TA,0,74
validation,clean_tight,clean,TV,0,75
validation,clean_tight,clean,AV,0,62
validation,clean_tight,clean,TAV,0,80
validation,degraded_loose,degraded_text,T,0,40
validation,degraded_loose,degraded_text,A,0,56
validation,degraded_loose,degraded_text,V,0,57
validation,degraded_loose,degraded_text,TA,0,45
validation,degraded_loose,degraded_text,TV,0,46
validation,degraded_loose,degraded_text,AV,0,68
validation,degraded_loose,degraded_text,TAV,0,55
validation,degraded_loose,degraded_audio,T,0,69
validation,degraded_loose,degraded_audio,A,0,35
validation,degraded_loose,degraded_audio,V,0,60
validation,degraded_loose,degraded_audio,TA,0,50
validation,degraded_loose,degraded_audio,TV,0,72
validation,degraded_loose,degraded_audio,AV,0,40
validation,degraded_loose,degraded_audio,TAV,0,58
validation,degraded_loose,degraded_video,T,0,70
validation,degraded_loose,degraded_video,A,0,58
validation,degraded_loose,degraded_video,V,0,36
validation,degraded_loose,degraded_video,TA,0,74
validation,degraded_loose,degraded_video,TV,0,45
validation,degraded_loose,degraded_video,AV,0,42
validation,degraded_loose,degraded_video,TAV,0,57
validation,degraded_loose,mixed_degraded,T,0,58
validation,degraded_loose,mixed_degraded,A,0,52
validation,degraded_loose,mixed_degraded,V,0,51
validation,degraded_loose,mixed_degraded,TA,0,56
validation,degraded_loose,mixed_degraded,TV,0,57
validation,degraded_loose,mixed_degraded,AV,0,55
validation,degraded_loose,mixed_degraded,TAV,0,54
validation,degraded_tight,degraded_text,T,0,40
validation,degraded_tight,degraded_text,A,0,56
validation,degraded_tight,degraded_text,V,0,57
validation,degraded_tight,degraded_text,TA,0,45
validation,degraded_tight,degraded_text,TV,0,46
validation,degraded_tight,degraded_text,AV,0,68
validation,degraded_tight,degraded_text,TAV,0,55
validation,degraded_tight,degraded_audio,T,0,69
validation,degraded_tight,degraded_audio,A,0,35
validation,degraded_tight,degraded_audio,V,0,60
validation,degraded_tight,degraded_audio,TA,0,50
validation,degraded_tight,degraded_audio,TV,0,72
validation,degraded_tight,degraded_audio,AV,0,40
validation,degraded_tight,degraded_audio,TAV,0,58
validation,degraded_tight,degraded_video,T,0,70
validation,degraded_tight,degraded_video,A,0,58
validation,degraded_tight,degraded_video,V,0,36
validation,degraded_tight,degraded_video,TA,0,74
validation,degraded_tight,degraded_video,TV,0,45
validation,degraded_tight,degraded_video,AV,0,42
validation,degraded_tight,degraded_video,TAV,0,57
validation,degraded_tight,mixed_degraded,T,0,58
validation,degraded_tight,mixed_degraded,A,0,52
validation,degraded_tight,mixed_degraded,V,0,51
validation,degraded_tight,mixed_degraded,TA,0,56
validation,degraded_tight,mixed_degraded,TV,0,57
validation,degraded_tight,mixed_degraded,AV,0,55
validation,degraded_tight,mixed_degraded,TAV,0,54
test,clean_loose,clean,T,0,72
test,clean_loose,clean,A,0,54
test,clean_loose,clean,V,0,56
test,clean_loose,clean,TA,0,74
test,clean_loose,clean,TV,0,75
test,clean_loose,clean,AV,0,62
test,clean_loose,clean,TAV,0,80
test,clean_tight,clean,T,0,72
test,clean_tight,clean,A,0,54
test,clean_tight,clean,V,0,56
test,clean_tight,clean,TA,0,74
test,clean_tight,clean,TV,0,75
test,clean_tight,clean,AV,0,62
test,clean_tight,clean,TAV,0,80
test,degraded_loose,degraded_text,T,0,40
test,degraded_loose,degraded_text,A,0,56
test,degraded_loose,degraded_text,V,0,57
test,degraded_loose,degraded_text,TA,0,45
test,degraded_loose,degraded_text,TV,0,46
test,degraded_loose,degraded_text,AV,0,68
test,degraded_loose,degraded_text,TAV,0,55
test,degraded_loose,degraded_audio,T,0,69
test,degraded_loose,degraded_audio,A,0,35
test,degraded_loose,degraded_audio,V,0,60
test,degraded_loose,degraded_audio,TA,0,50
test,degraded_loose,degraded_audio,TV,0,72
test,degraded_loose,degraded_audio,AV,0,40
test,degraded_loose,degraded_audio,TAV,0,58
test,degraded_loose,degraded_video,T,0,70
test,degraded_loose,degraded_video,A,0,58
test,degraded_loose,degraded_video,V,0,36
test,degraded_loose,degraded_video,TA,0,74
test,degraded_loose,degraded_video,TV,0,45
test,degraded_loose,degraded_video,AV,0,42
test,degraded_loose,degraded_video,TAV,0,57
test,degraded_loose,mixed_degraded,T,0,58
test,degraded_loose,mixed_degraded,A,0,52
test,degraded_loose,mixed_degraded,V,0,51
test,degraded_loose,mixed_degraded,TA,0,56
test,degraded_loose,mixed_degraded,TV,0,57
test,degraded_loose,mixed_degraded,AV,0,55
test,degraded_loose,mixed_degraded,TAV,0,54
test,degraded_tight,degraded_text,T,0,40
test,degraded_tight,degraded_text,A,0,56
test,degraded_tight,degraded_text,V,0,57
test,degraded_tight,degraded_text,TA,0,45
test,degraded_tight,degraded_text,TV,0,46
test,degraded_tight,degraded_text,AV,0,68
test,degraded_tight,degraded_text,TAV,0,55
test,degraded_tight,degraded_audio,T,0,69
test,degraded_tight,degraded_audio,A,0,35
test,degraded_tight,degraded_audio,V,0,60
test,degraded_tight,degraded_audio,TA,0,50
test,degraded_tight,degraded_audio,TV,0,72
test,degraded_tight,degraded_audio,AV,0,40
test,degraded_tight,degraded_audio,TAV,0,58
test,degraded_tight,degraded_video,T,0,70
test,degraded_tight,degraded_video,A,0,58
test,degraded_tight,degraded_video,V,0,36
test,degraded_tight,degraded_video,TA,0,74
test,degraded_tight,degraded_video,TV,0,45
test,degraded_tight,degraded_video,AV,0,42
test,degraded_tight,degraded_video,TAV,0,57
test,degraded_tight,mixed_degraded,T,0,58
test,degraded_tight,mixed_degraded,A,0,52
test,degraded_tight,mixed_degraded,V,0,51
test,degraded_tight,mixed_degraded,TA,0,56
test,degraded_tight,mixed_degraded,TV,0,57
test,degraded_tight,mixed_degraded,AV,0,55
test,degraded_tight,mixed_degraded,TAV,0,54

