review_status,instance_id,source_id,source_dataset,video_id,video_name,source_video_path,corrupted_video_path,question,choices_json,gold_answer,question_relation,question_type,source_bucket,generator_affected_modality,generator_corruption_type,generator_severity,generator_corruption_relevance,question_only_answerable_without_media,question_only_blind_confidence,question_only_blind_answer,source_audio_relevance,source_video_relevance,source_audio_video_joint_required,source_evidence_note,modality_quality_audio,modality_quality_video,modality_task_relevance_audio,modality_task_relevance_video,cross_modal_relation,corruption_relevance,corruption_effect,post_corruption_answerability,cross_modal_recoverability,main_answerability,risk_sensitive,recovery_source_json,recovery_audio_time_json,recovery_video_time_json,recovery_note,acceptable_routes_json,preferred_route_json,disallowed_routes_json,oracle_abstain,oracle_answerability,oracle_expected_answer,oracle_risk_level,annotation_confidence,annotator_notes
needs_human_review,src_001__视频轻度遮挡,src_001,AVQA_HF_sample,64845,-1JmE4eV4zE_000442,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-1JmE4eV4zE_000442.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_001__视频轻度遮挡.mp4,What are the people doing in the video?,"[""machine"", ""Practice oral skills"", ""speak"", ""Practice eating""]",Practice oral skills,Sound,Happening,audio_necessary,video,video_occlusion,mild,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Practice oral skills,cautious,low,
needs_human_review,src_001__视频重度模糊,src_001,AVQA_HF_sample,64845,-1JmE4eV4zE_000442,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-1JmE4eV4zE_000442.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_001__视频重度模糊.mp4,What are the people doing in the video?,"[""machine"", ""Practice oral skills"", ""speak"", ""Practice eating""]",Practice oral skills,Sound,Happening,audio_necessary,video,video_blur,severe,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Practice oral skills,cautious,low,
needs_human_review,src_001__音频轻度加噪,src_001,AVQA_HF_sample,64845,-1JmE4eV4zE_000442,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-1JmE4eV4zE_000442.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_001__音频轻度加噪.mp4,What are the people doing in the video?,"[""machine"", ""Practice oral skills"", ""speak"", ""Practice eating""]",Practice oral skills,Sound,Happening,audio_necessary,audio,audio_noise,mild,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Practice oral skills,cautious,low,
needs_human_review,src_001__音频静音,src_001,AVQA_HF_sample,64845,-1JmE4eV4zE_000442,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-1JmE4eV4zE_000442.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_001__音频静音.mp4,What are the people doing in the video?,"[""machine"", ""Practice oral skills"", ""speak"", ""Practice eating""]",Practice oral skills,Sound,Happening,audio_necessary,audio,audio_mute,severe,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Practice oral skills,cautious,low,
needs_human_review,src_002__视频轻度遮挡,src_002,AVQA_HF_sample,719,-ZeMV790MXE_000010,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-ZeMV790MXE_000010.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_002__视频轻度遮挡.mp4,What is the source of the sound in the video?,"[""highway"", ""fire"", ""police car"", ""helicopter""]",police car,Sound,Come From,audio_necessary,video,video_occlusion,mild,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,police car,cautious,low,
needs_human_review,src_002__视频重度遮挡,src_002,AVQA_HF_sample,719,-ZeMV790MXE_000010,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-ZeMV790MXE_000010.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_002__视频重度遮挡.mp4,What is the source of the sound in the video?,"[""highway"", ""fire"", ""police car"", ""helicopter""]",police car,Sound,Come From,audio_necessary,video,video_occlusion,severe,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,police car,cautious,low,
needs_human_review,src_002__音频轻度加噪,src_002,AVQA_HF_sample,719,-ZeMV790MXE_000010,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-ZeMV790MXE_000010.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_002__音频轻度加噪.mp4,What is the source of the sound in the video?,"[""highway"", ""fire"", ""police car"", ""helicopter""]",police car,Sound,Come From,audio_necessary,audio,audio_noise,mild,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,police car,cautious,low,
needs_human_review,src_002__音频重度加噪,src_002,AVQA_HF_sample,719,-ZeMV790MXE_000010,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-ZeMV790MXE_000010.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_002__音频重度加噪.mp4,What is the source of the sound in the video?,"[""highway"", ""fire"", ""police car"", ""helicopter""]",police car,Sound,Come From,audio_necessary,audio,audio_noise,severe,answer_relevant,unclear,low,,sufficient,unclear,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,police car,cautious,low,
needs_human_review,src_003__视频重度模糊,src_003,AVQA_HF_sample,733,-_lIeDXKHEU_000016,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-_lIeDXKHEU_000016.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_003__视频重度模糊.mp4,What is the source of the sound in the video?,"[""cock"", ""owl"", ""Birdsong"", ""pheasant""]",Birdsong,View,Come From,video_necessary,video,video_blur,severe,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Birdsong,cautious,low,
needs_human_review,src_003__视频重度遮挡,src_003,AVQA_HF_sample,733,-_lIeDXKHEU_000016,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-_lIeDXKHEU_000016.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_003__视频重度遮挡.mp4,What is the source of the sound in the video?,"[""cock"", ""owl"", ""Birdsong"", ""pheasant""]",Birdsong,View,Come From,video_necessary,video,video_occlusion,severe,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Birdsong,cautious,low,
needs_human_review,src_003__音频轻度加噪,src_003,AVQA_HF_sample,733,-_lIeDXKHEU_000016,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-_lIeDXKHEU_000016.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_003__音频轻度加噪.mp4,What is the source of the sound in the video?,"[""cock"", ""owl"", ""Birdsong"", ""pheasant""]",Birdsong,View,Come From,video_necessary,audio,audio_noise,mild,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Birdsong,cautious,low,
needs_human_review,src_003__音频重度加噪,src_003,AVQA_HF_sample,733,-_lIeDXKHEU_000016,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/-_lIeDXKHEU_000016.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_003__音频重度加噪.mp4,What is the source of the sound in the video?,"[""cock"", ""owl"", ""Birdsong"", ""pheasant""]",Birdsong,View,Come From,video_necessary,audio,audio_noise,severe,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Birdsong,cautious,low,
needs_human_review,src_004__视频轻度模糊,src_004,AVQA_HF_sample,74652,Finl-o3QHWI_000015,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/Finl-o3QHWI_000015.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_004__视频轻度模糊.mp4,What are the people doing in the video?,"[""Bowling"", ""practice oral skills"", ""take exercises"", ""Floating on the water""]",Bowling,View,Happening,video_necessary,video,video_blur,mild,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Bowling,cautious,low,
needs_human_review,src_004__视频重度遮挡,src_004,AVQA_HF_sample,74652,Finl-o3QHWI_000015,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/Finl-o3QHWI_000015.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_004__视频重度遮挡.mp4,What are the people doing in the video?,"[""Bowling"", ""practice oral skills"", ""take exercises"", ""Floating on the water""]",Bowling,View,Happening,video_necessary,video,video_occlusion,severe,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Bowling,cautious,low,
needs_human_review,src_004__音频重度加噪,src_004,AVQA_HF_sample,74652,Finl-o3QHWI_000015,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/Finl-o3QHWI_000015.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_004__音频重度加噪.mp4,What are the people doing in the video?,"[""Bowling"", ""practice oral skills"", ""take exercises"", ""Floating on the water""]",Bowling,View,Happening,video_necessary,audio,audio_noise,severe,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Bowling,cautious,low,
needs_human_review,src_004__音频静音,src_004,AVQA_HF_sample,74652,Finl-o3QHWI_000015,experiments/exp-002-diag-action-pilot/data/media/AVQA_200/videos/Finl-o3QHWI_000015.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_004__音频静音.mp4,What are the people doing in the video?,"[""Bowling"", ""practice oral skills"", ""take exercises"", ""Floating on the water""]",Bowling,View,Happening,video_necessary,audio,audio_mute,severe,answer_relevant,unclear,low,,unclear,sufficient,no,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,Bowling,cautious,low,
needs_human_review,src_005__视频轻度模糊,src_005,MUSIC-AVQA,,esa00000199,experiments/exp-002-diag-action-pilot/data/media/MUSIC-AVQA_200/videos/esa00000199.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_005__视频轻度模糊.mp4,Is the first sound coming from the right instrument?,"[""yes"", ""no""]",yes,Both,Location,audio_video_joint,video,video_blur,mild,answer_relevant,unclear,low,,necessary,necessary,yes,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,yes,cautious,low,
needs_human_review,src_005__视频重度遮挡,src_005,MUSIC-AVQA,,esa00000199,experiments/exp-002-diag-action-pilot/data/media/MUSIC-AVQA_200/videos/esa00000199.mp4,experiments/exp-002-diag-action-pilot/data/media/corrupted/src_005__视频重度遮挡.mp4,Is the first sound coming from the right instrument?,"[""yes"", ""no""]",yes,Both,Location,audio_video_joint,video,video_occlusion,severe,answer_relevant,unclear,low,,necessary,necessary,yes,,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,exclude_from_main,True,[],null,null,,[],[],[],False,partial,yes,cautious,low,
